date,value
2020-01-01,152031.0
2020-02-01,152292.0
2020-03-01,150895.0
2020-04-01,130424.0
2020-05-01,133040.0
2020-06-01,137671.0
2020-07-01,139255.0
2020-08-01,140819.0
2020-09-01,141770.0
2020-10-01,142461.0
2020-11-01,142731.0
2020-12-01,142548.0
2021-01-01,142913.0
2021-02-01,143422.0
2021-03-01,144246.0
2021-04-01,144611.0
2021-05-01,145032.0
2021-06-01,145828.0
2021-07-01,146759.0
2021-08-01,147246.0
2021-09-01,147712.0
2021-10-01,148569.0
2021-11-01,149206.0
2021-12-01,149781.0
2022-01-01,150006.0
2022-02-01,150875.0
2022-03-01,151346.0
2022-04-01,151651.0
2022-05-01,151892.0
2022-06-01,152353.0
2022-07-01,153049.0
2022-08-01,153286.0
2022-09-01,153513.0
2022-10-01,153913.0
2022-11-01,154210.0
2022-12-01,154336.0
2023-01-01,154780.0
2023-02-01,155086.0
2023-03-01,155171.0
2023-04-01,155387.0
2023-05-01,155614.0
2023-06-01,155871.0
2023-07-01,156019.0
2023-08-01,156176.0
2023-09-01,156334.0
2023-10-01,156520.0
2023-11-01,156661.0
2023-12-01,156930.0
2024-01-01,157049.0
2024-02-01,157271.0
2024-03-01,157517.0
2024-04-01,157635.0
2024-05-01,157828.0
2024-06-01,157915.0
2024-07-01,158003.0
2024-08-01,158074.0
2024-09-01,158314.0
2024-10-01,158358.0
2024-11-01,158619.0
2024-12-01,158942.0
