PAYEMS Economic Data
Date         Value          
------------------------------
2020-01-01   152031         
2020-02-01   152292         
2020-03-01   150895         
2020-04-01   130424         
2020-05-01   133040         
2020-06-01   137671         
2020-07-01   139255         
2020-08-01   140819         
2020-09-01   141770         
2020-10-01   142461         
2020-11-01   142731         
2020-12-01   142548         
2021-01-01   142913         
2021-02-01   143422         
2021-03-01   144246         
2021-04-01   144611         
2021-05-01   145032         
2021-06-01   145828         
2021-07-01   146759         
2021-08-01   147246         
2021-09-01   147712         
2021-10-01   148569         
2021-11-01   149206         
2021-12-01   149781         
2022-01-01   150006         
2022-02-01   150875         
2022-03-01   151346         
2022-04-01   151651         
2022-05-01   151892         
2022-06-01   152353         
2022-07-01   153049         
2022-08-01   153286         
2022-09-01   153513         
2022-10-01   153913         
2022-11-01   154210         
2022-12-01   154336         
2023-01-01   154780         
2023-02-01   155086         
2023-03-01   155171         
2023-04-01   155387         
2023-05-01   155614         
2023-06-01   155871         
2023-07-01   156019         
2023-08-01   156176         
2023-09-01   156334         
2023-10-01   156520         
2023-11-01   156661         
2023-12-01   156930         
2024-01-01   157049         
2024-02-01   157271         
2024-03-01   157517         
2024-04-01   157635         
2024-05-01   157828         
2024-06-01   157915         
2024-07-01   158003         
2024-08-01   158074         
2024-09-01   158314         
2024-10-01   158358         
2024-11-01   158619         
2024-12-01   158942         
