symbol,date,predicted_volatility,ramp_score,industry
INTC,2025-09-18,0.036651000049445465,100.0,Technology
ORCL,2025-09-18,0.02339669478779375,57.4,Technology
AVGO,2025-09-18,0.017088528393615146,37.1,Technology
TSLA,2025-09-18,0.016928963298088014,36.5,Technology
AMD,2025-09-18,0.015932795755949976,33.3,Technology
AMAT,2025-09-18,0.014452934520090104,28.6,Technology
LRCX,2025-09-18,0.013224174643739841,24.6,Technology
TXN,2025-09-18,0.011317970038562504,18.5,Technology
AMZN,2025-09-18,0.010970044966224456,17.4,Consumer
ACN,2025-09-18,0.010649928215620094,16.3,Other
CMCSA,2025-09-18,0.010506459310841893,15.9,Media
NKE,2025-09-18,0.010286677639040145,15.2,Consumer
UNH,2025-09-18,0.00992539800625708,14.0,Healthcare
CAT,2025-09-18,0.009746403721072527,13.4,Industrial
LLY,2025-09-18,0.009639082038692487,13.1,Healthcare
BKNG,2025-09-18,0.009462895404075357,12.5,Consumer
NVDA,2025-09-18,0.009321014049373548,12.1,Technology
INTU,2025-09-18,0.009266163648036285,11.9,Technology
IBM,2025-09-18,0.009254247391803642,11.8,Technology
ISRG,2025-09-18,0.009209674094519615,11.7,Healthcare
DHR,2025-09-18,0.00921164320658617,11.7,Healthcare
AAPL,2025-09-18,0.009066391704448465,11.2,Technology
REGN,2025-09-18,0.009019558881134575,11.1,Healthcare
META,2025-09-18,0.008919061021768808,10.8,Technology
NFLX,2025-09-18,0.008802865681403857,10.4,Media
GOOGL,2025-09-18,0.008814469607359243,10.4,Technology
ELV,2025-09-18,0.008549834400282829,9.6,Healthcare
GOOG,2025-09-18,0.008281962688680075,8.7,Technology
BMY,2025-09-18,0.00817396823063967,8.4,Healthcare
AXP,2025-09-18,0.008171930474121547,8.4,Financial
LIN,2025-09-18,0.008160429261520741,8.3,Other
GILD,2025-09-18,0.008114568446609446,8.2,Healthcare
ETN,2025-09-18,0.008081750482153444,8.1,Industrial
CVS,2025-09-18,0.008007723184743281,7.8,Healthcare
PM,2025-09-18,0.007907549743640128,7.5,Consumer
JNJ,2025-09-18,0.00785549222430606,7.3,Healthcare
BA,2025-09-18,0.007802582994322463,7.2,Industrial
ZTS,2025-09-18,0.007778107870411226,7.1,Healthcare
MMC,2025-09-18,0.007713593072239611,6.9,Financial
SO,2025-09-18,0.0077025437473914925,6.9,Utilities
ADBE,2025-09-18,0.007686648237011515,6.8,Technology
COP,2025-09-18,0.007645382821388439,6.7,Energy
CRM,2025-09-18,0.007600039758044514,6.5,Technology
NOW,2025-09-18,0.007577773455497208,6.5,Technology
WMT,2025-09-18,0.007606866386966692,6.5,Consumer
TMO,2025-09-18,0.007564061011471237,6.4,Healthcare
GE,2025-09-18,0.007525350579488443,6.3,Industrial
DIS,2025-09-18,0.007515499604315833,6.3,Media
JPM,2025-09-18,0.007489005018819573,6.2,Financial
MCD,2025-09-18,0.007412406025723946,5.9,Consumer
T,2025-09-18,0.007365815487576643,5.8,Telecom
SYK,2025-09-18,0.007332585185678185,5.7,Healthcare
SCHW,2025-09-18,0.007327430100372383,5.6,Financial
PLD,2025-09-18,0.0072897558137335495,5.5,Real Estate
ADP,2025-09-18,0.007284132776957715,5.5,Other
PFE,2025-09-18,0.007238853853592801,5.4,Healthcare
LOW,2025-09-18,0.007209524625291508,5.3,Consumer
HD,2025-09-18,0.007221451775684827,5.3,Consumer
MDLZ,2025-09-18,0.007089395326393114,4.9,Consumer
ABT,2025-09-18,0.006972124511902331,4.5,Healthcare
GS,2025-09-18,0.0069834320060441725,4.5,Financial
SBUX,2025-09-18,0.006978611887856801,4.5,Consumer
COST,2025-09-18,0.00693816161002439,4.4,Consumer
MO,2025-09-18,0.0069258305476656455,4.4,Consumer
SPGI,2025-09-18,0.006804995346839653,4.0,Financial
VRTX,2025-09-18,0.006808403958276511,4.0,Healthcare
QCOM,2025-09-18,0.006793932972845537,3.9,Technology
C,2025-09-18,0.006769528529892936,3.9,Financial
RTX,2025-09-18,0.0067553244856169,3.8,Industrial
WFC,2025-09-18,0.006753236703930463,3.8,Financial
CI,2025-09-18,0.00672075024607479,3.7,Healthcare
DE,2025-09-18,0.006703064831709028,3.6,Industrial
KO,2025-09-18,0.006642770732727816,3.4,Consumer
UNP,2025-09-18,0.006587320115740638,3.3,Other
PG,2025-09-18,0.006603442130115917,3.3,Consumer
ADI,2025-09-18,0.006559912133911178,3.2,Other
MRK,2025-09-18,0.006564453976601169,3.2,Healthcare
VZ,2025-09-18,0.006483996349580601,2.9,Telecom
TMUS,2025-09-18,0.0064323461607089395,2.8,Telecom
MA,2025-09-18,0.00642558538541056,2.7,Financial
CB,2025-09-18,0.00640347894324971,2.7,Financial
XOM,2025-09-18,0.006380410755193345,2.6,Energy
PEP,2025-09-18,0.006322324056480973,2.4,Consumer
NEE,2025-09-18,0.00632419668105328,2.4,Utilities
V,2025-09-18,0.006193004719132136,2.0,Financial
CSCO,2025-09-18,0.0061588974156958085,1.9,Other
BLK,2025-09-18,0.006102562607784442,1.7,Financial
UPS,2025-09-18,0.006066581750826873,1.6,Industrial
AMGN,2025-09-18,0.005970739646500415,1.3,Healthcare
CVX,2025-09-18,0.005982740507423146,1.3,Energy
HON,2025-09-18,0.005962106460151193,1.3,Industrial
MSFT,2025-09-18,0.005983972879601666,1.3,Technology
TJX,2025-09-18,0.005901339004032985,1.1,Consumer
MS,2025-09-18,0.005797299637336926,0.7,Financial
EQIX,2025-09-18,0.005695109880972132,0.4,Real Estate
BAC,2025-09-18,0.005591914987145939,0.1,Financial
BDX,2025-09-18,0.005571556812817716,0.0,Healthcare
ABBV,2025-09-18,0.005580397719080329,0.0,Healthcare
